Date,Narration,Ref,Debit,Credit,Balance
01-01-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN8224253216320001,,52000.00,92000.00
01-01-2026,ATW-512967XX1234-S1CN100000-HYDERABAD,,3300.00,,88700.00
02-01-2026,UPI/DR/627269130977/ZOMATO.PAY@HDFCBANK/PAYMENT,,125.00,,88575.00
02-01-2026,UPI/DR/286842834708/JIO.RECHARGE@SBI/PAYMENT,,919.00,,87656.00
04-01-2026,UPI/DR/863586363210/ZOMATO.PAY@HDFCBANK/PAYMENT,,98.00,,87558.00
04-01-2026,UPI/DR/242353269098/ZOMATO.PAY@HDFCBANK/PAYMENT,,483.00,,87075.00
05-01-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,82575.00
05-01-2026,UPI/DR/367852537638/RATNADEEP.RZP@AXIS/PAYMENT,,103.00,,82472.00
05-01-2026,UPI/DR/690744870068/AMAZONPAY@APL/PAYMENT,,294.00,,82178.00
06-01-2026,UPI/DR/759124283189/SWIGGY.ORDER@ICICI/PAYMENT,,1189.00,,80989.00
06-01-2026,UPI/DR/833800057978/PAYTMQR2810050501@PAYTM/PAYMENT,,907.00,,80082.00
07-01-2026,UPI/DR/378962340556/9876543210@OKHDFC/PAYMENT,,444.00,,79638.00
08-01-2026,UPI/DR/669543265811/RATNADEEP.RZP@AXIS/PAYMENT,,359.00,,79279.00
08-01-2026,UPI/DR/697540882144/SWIGGY.ORDER@ICICI/PAYMENT,,1163.00,,78116.00
09-01-2026,UPI/DR/337970183964/SWIGGY.ORDER@ICICI/PAYMENT,,797.00,,77319.00
09-01-2026,UPI/DR/700669836232/SWIGGY.ORDER@ICICI/PAYMENT,,709.00,,76610.00
11-01-2026,UPI/DR/605545461364/RATNADEEP.RZP@AXIS/PAYMENT,,193.00,,76417.00
13-01-2026,UPI/DR/189306489828/ZOMATO.PAY@HDFCBANK/PAYMENT,,313.00,,76104.00
13-01-2026,ATW-512967XX1234-S1CN100012-HYDERABAD,,2800.00,,73304.00
14-01-2026,UPI/DR/851245008745/9988776655@AXL/PAYMENT,,933.00,,72371.00
15-01-2026,UPI/DR/883359391626/JIO.RECHARGE@SBI/PAYMENT,,106.00,,72265.00
18-01-2026,UPI/DR/859430482967/SWIGGY.ORDER@ICICI/PAYMENT,,1015.00,,71250.00
18-01-2026,UPI/DR/773517646638/ZOMATO.PAY@HDFCBANK/PAYMENT,,109.00,,71141.00
19-01-2026,UPI/DR/418036727171/RATNADEEP.RZP@AXIS/PAYMENT,,916.00,,70225.00
19-01-2026,UPI/DR/173437278459/PAYTMQR2810050501@PAYTM/PAYMENT,,107.00,,70118.00
21-01-2026,UPI/DR/984861027397/9988776655@AXL/PAYMENT,,606.00,,69512.00
21-01-2026,UPI/DR/789980253317/PAYTMQR2810050501@PAYTM/PAYMENT,,1160.00,,68352.00
21-01-2026,UPI/DR/822439055664/SWIGGY.ORDER@ICICI/FAILED PAYMENT,822439055664,750.00,,67602.00
22-01-2026,UPI/DR/581924918566/SWIGGY.ORDER@ICICI/PAYMENT,,527.00,,67075.00
22-01-2026,UPI/DR/756435520309/ZOMATO.PAY@HDFCBANK/PAYMENT,,1064.00,,66011.00
23-01-2026,UPI/DR/188905164552/PAYTMQR2810050501@PAYTM/PAYMENT,,1094.00,,64917.00
24-01-2026,UPI/DR/859901418748/ZOMATO.PAY@HDFCBANK/PAYMENT,,130.00,,64787.00
24-01-2026,UPI/DR/453228209523/RATNADEEP.RZP@AXIS/PAYMENT,,177.00,,64610.00
24-01-2026,UPI/CR/822439055664/REV OF FAILED TXN,822439055664,,750.00,65360.00
25-01-2026,ATW-512967XX1234-S1CN100024-HYDERABAD,,2800.00,,62560.00
26-01-2026,UPI/DR/648279535339/ZOMATO.PAY@HDFCBANK/PAYMENT,,530.00,,62030.00
28-01-2026,UPI/DR/212099789069/9988776655@AXL/PAYMENT,,87.00,,61943.00
28-01-2026,UPI/DR/710498430266/SWIGGY.ORDER@ICICI/PAYMENT,,315.00,,61628.00
30-01-2026,UPI/DR/282713901600/9988776655@AXL/PAYMENT,,376.00,,61252.00
30-01-2026,UPI/DR/525430037641/9876543210@OKHDFC/PAYMENT,,1032.00,,60220.00
31-01-2026,UPI/DR/326502206219/AMAZONPAY@APL/PAYMENT,,741.00,,59479.00
31-01-2026,UPI/DR/115236977586/SWIGGY.ORDER@ICICI/PAYMENT,,662.00,,58817.00
01-02-2026,NEFT CR-ACME TECH PVT LTD-SALARY,ACMEN5563893724680001,,52000.00,110817.00
02-02-2026,UPI/DR/644262674408/JIO.RECHARGE@SBI/PAYMENT,,704.00,,110113.00
02-02-2026,UPI/DR/812546953253/9123456789@YBL/PAYMENT,,638.00,,109475.00
03-02-2026,UPI/DR/391344054964/9876543210@OKHDFC/PAYMENT,,868.00,,108607.00
03-02-2026,UPI/DR/159187843293/9876543210@OKHDFC/PAYMENT,,670.00,,107937.00
05-02-2026,ACH-DR-TP BAJAJ FINANCE-EMI,,4500.00,,103437.00
05-02-2026,UPI/DR/377318515098/ZOMATO.PAY@HDFCBANK/PAYMENT,,1072.00,,102365.00
05-02-2026,UPI/DR/132669201911/AMAZONPAY@APL/PAYMENT,,695.00,,101670.00
06-02-2026,ATW-512967XX1234-S1CN100036-HYDERABAD,,3400.00,,98270.00
07-02-2026,UPI/DR/209587938344/SWIGGY.ORDER@ICICI/PAYMENT,,42.00,,98228.00
09-02-2026,UPI/DR/743217085738/9988776655@AXL/PAYMENT,,187.00,,98041.00
09-02-2026,UPI/DR/193150720538/AMAZONPAY@APL/PAYMENT,,764.00,,97277.00
11-02-2026,UPI/DR/309886211703/AMAZONPAY@APL/PAYMENT,,895.00,,96382.00
12-02-2026,UPI/DR/210614502870/9123456789@YBL/PAYMENT,,1047.00,,95335.00
13-02-2026,UPI/DR/393010014569/RATNADEEP.RZP@AXIS/PAYMENT,,331.00,,95004.00
13-02-2026,UPI/DR/708869705474/PAYTMQR2810050501@PAYTM/PAYMENT,,490.00,,94514.00
